text,slot,intent,intent_id
what are the movie schedules for movies around here,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what are the movie schedules,O O O B-object_type I-object_type,SearchScreeningEvent,1
what is the closest movie theatre that is playing moment to moment,O O O B-spatial_relation B-object_location_type I-object_location_type O O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
where is the chief cook playing,O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
find movie times for close by movies,O B-object_type I-object_type O B-spatial_relation I-spatial_relation B-movie_type,SearchScreeningEvent,1
i d like to watch movies at the closest movie theatre,O O O O O B-movie_type O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
find the schedule for rare birds at the nearest movie theatre at noon,O O B-object_type O B-movie_name I-movie_name O O B-spatial_relation B-object_location_type I-object_location_type O B-timeRange,SearchScreeningEvent,1
is goodbye mr chips showing twelve minutes from now,O B-movie_name I-movie_name I-movie_name O B-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
when is you walk so softly playing at kerasotes theatres,O O B-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
what time is the rocketeer showing,O O O B-movie_name I-movie_name O,SearchScreeningEvent,1
what is the local movie times,O O O O B-object_type I-object_type,SearchScreeningEvent,1
give me movie times,O O B-object_type I-object_type,SearchScreeningEvent,1
what movies are scheduled in the neighbourhood,O B-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what movies are scheduled at plitt theatres,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
find movie schedules at imax corporation,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
show movie schedule at amco entertainment,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
is the missing clerk playing,O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
find the movie schedule for pacific theatres,O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
what time is cinema playing the village priest,O O O B-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find the nearest movies at a movie theatre,O O B-spatial_relation B-movie_type O O B-object_location_type I-object_location_type,SearchScreeningEvent,1
show movie times of films close by,O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find a movie schedule,O O B-object_type I-object_type,SearchScreeningEvent,1
can i get the movie schedules for loews cineplex,O O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
find films at alamo drafthouse cinema,O B-movie_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
i want the film for nearest movie theatre,O O O B-movie_type O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
find the closest movie house that plays animated movies,O O B-spatial_relation B-object_location_type I-object_location_type O O B-movie_type I-movie_type,SearchScreeningEvent,1
is love marilyn playing,O B-movie_name I-movie_name O,SearchScreeningEvent,1
where is the closest cinema that features animated movies,O O O B-spatial_relation B-object_location_type O O B-movie_type I-movie_type,SearchScreeningEvent,1
let me have the movie schedules for general cinema corporation,O O O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what movies are playing at southern theatres,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
when can i see journey to the end of the night,O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find me the movie schedule for great escape theatres,O O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what s the closest movie theatre showing harbour beat,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name,SearchScreeningEvent,1
what are the movie times,O O O B-object_type I-object_type,SearchScreeningEvent,1
is the film goodrich quality theaters playing at 12:26 am,O O B-movie_type B-location_name I-location_name I-location_name O O B-timeRange I-timeRange,SearchScreeningEvent,1
what amc theaters is the red dance playing at,O B-location_name I-location_name O B-movie_name I-movie_name I-movie_name O O,SearchScreeningEvent,1
what time will the movie house be showing on the beat,O O O O B-object_location_type I-object_location_type O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
can i get the listings for the film at the nearest movie theatre,O O O O O O O B-movie_type O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
i d like to watch army at wanda group,O O O O O B-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
show me movies in the area,O O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find a feather in her hat at magic johnson theatres,O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
when can i catch a screening of shivers in summer,O O O O O O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find a movie theatre with rogues and romance that is nearest,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name O O B-spatial_relation,SearchScreeningEvent,1
can i get todays movie schedule for the movies that are close by,O O O O B-object_type I-object_type O O B-movie_type O O B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find movie schedules,O B-object_type I-object_type,SearchScreeningEvent,1
find the schedule for the closest films at a cinema at meal time,O O B-object_type O O B-spatial_relation B-movie_type O O B-object_location_type O B-timeRange O,SearchScreeningEvent,1
show movies in the neighborhood,O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find the schedule for the tooth will out at sunrise,O O B-object_type O B-movie_name I-movie_name I-movie_name I-movie_name O B-timeRange,SearchScreeningEvent,1
i d like to watch three word brand at the cinema,O O O O O B-movie_name I-movie_name I-movie_name O O B-object_location_type,SearchScreeningEvent,1
find movie schedules for nearby films,O B-object_type I-object_type O B-spatial_relation B-movie_type,SearchScreeningEvent,1
what time do the movies play at southern theatres,O O O O B-movie_type O O B-location_name I-location_name,SearchScreeningEvent,1
what movies are playing at regal entertainment group,O B-movie_type O O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
show me schedules to see a film with me in it,O O B-object_type O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find movies around here with movie schedules,O B-movie_type B-spatial_relation I-spatial_relation O B-object_type I-object_type,SearchScreeningEvent,1
find the movie times at consolidated theatres,O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
find movie times,O B-object_type I-object_type,SearchScreeningEvent,1
can i get the showtimes for the man who could talk to kids,O O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what time does tie a yellow ribbon play at magic johnson theatres,O O O B-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
when is for lovers only playing,O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
when is beyond my reach scheduled at the nearest cinema,O O B-movie_name I-movie_name I-movie_name O O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
please provide me with movie schedules,O O O O B-object_type I-object_type,SearchScreeningEvent,1
i need the movie schedules for century theatres,O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
which movies are playing at amc theaters,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
list films in the neighborhood,O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
i d like to watch glass chin at the movie house at 17:32:30,O O O O O B-movie_name I-movie_name O O B-object_location_type I-object_location_type O B-timeRange,SearchScreeningEvent,1
what films are at the nearest movie theatre,O B-movie_type O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
where is the closest cinema playing good night good morning,O O O B-spatial_relation B-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what s the closest movie house showing night in may,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what time is 26 years diary showing in the movie house,O O O B-movie_name I-movie_name I-movie_name O O O B-object_location_type I-object_location_type,SearchScreeningEvent,1
find a cinema nearest with sulle sathya,O O B-object_location_type B-spatial_relation O B-movie_name I-movie_name,SearchScreeningEvent,1
what animated movies are there nearby,O B-movie_type I-movie_type O O B-spatial_relation,SearchScreeningEvent,1
list movie schedules at showcase cinemas,O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
what is the movie schedule for the cooper foundation,O O O B-object_type I-object_type O O B-location_name I-location_name,SearchScreeningEvent,1
find movie times for nine pm,O B-object_type I-object_type O B-timeRange I-timeRange,SearchScreeningEvent,1
what time is summer school playing,O O O B-movie_name I-movie_name O,SearchScreeningEvent,1
what theater is showing from paris with love and when,O O O O B-movie_name I-movie_name I-movie_name I-movie_name O O,SearchScreeningEvent,1
can i get the movie schedules,O O O O B-object_type I-object_type,SearchScreeningEvent,1
what is the movie schedules at for douglas theatre company at 0 p m,O O O B-object_type I-object_type O O B-location_name I-location_name I-location_name O B-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
find the movie schedule for animated movies in the area,O O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find the movie schedule for movies close by,O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find a movie house nearest for films,O O B-object_location_type I-object_location_type B-spatial_relation O B-movie_type,SearchScreeningEvent,1
what time is the closet cinema playing movies the closest,O O O O O B-object_location_type O B-movie_type O B-spatial_relation,SearchScreeningEvent,1
find good night and good luck at a cinemark theatres,O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
what time will in the name of the son be playing,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O,SearchScreeningEvent,1
when is longwave going to be playing,O O B-movie_name O O O O,SearchScreeningEvent,1
what are the showings for the natural history of parking lots movie house,O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name B-object_location_type I-object_location_type,SearchScreeningEvent,1
where can i find movie schedules,O O O O B-object_type I-object_type,SearchScreeningEvent,1
when is purple heart scheduled at the nearest movie house,O O B-movie_name I-movie_name O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
what time is balkan rhapsodies: 78 measures of war playing at malco theatres,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
what time is roy colt & winchester jack playing at movie house,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-object_location_type I-object_location_type,SearchScreeningEvent,1
which cinema can i go to to see lilly the witch: the dragon and the magic book,O B-object_location_type O O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
give me the schedule for animated movies at the nearest cinema,O O O B-object_type O B-movie_type I-movie_type O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
show me the nearest movie house showing he won a ranch,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what is the nearest movie theatre playing kate y leopold,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what films are going to be playing at harkins theatres at zero a m,O B-movie_type O O O O O O B-location_name I-location_name O B-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
find a movie schedule,O O B-object_type I-object_type,SearchScreeningEvent,1
what movies are playing one hour from now at cooper foundation,O B-movie_type O O B-timeRange I-timeRange I-timeRange I-timeRange O B-location_name I-location_name,SearchScreeningEvent,1
i want to know the films playing at the closest movie house,O O O O O B-movie_type O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
find the schedule for across the line at the closest movie house,O O B-object_type O B-movie_name I-movie_name I-movie_name O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
what is the movie schedule at cineplex odeon corporation 12 hours from now,O O O B-object_type I-object_type O B-location_name I-location_name I-location_name B-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
what s the nearest movie theatre showing movies,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type,SearchScreeningEvent,1
at amc theaters what is the movie schedule,O B-location_name I-location_name O O O B-object_type I-object_type,SearchScreeningEvent,1
please tell me movie times,O O O B-object_type I-object_type,SearchScreeningEvent,1
i need a movie schedule for any films playing close by,O O O B-object_type I-object_type O O B-movie_type O B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what are the movie times for movies close by,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
is storm warning playing,O B-movie_name I-movie_name O,SearchScreeningEvent,1
show me dombey and son movies,O O B-movie_name I-movie_name I-movie_name B-movie_type,SearchScreeningEvent,1
give me the showtimes for the rum diary at mjr theatres at meal time,O O O O O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name O B-timeRange O,SearchScreeningEvent,1
what is the movie schedules for movies in the area,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what time is the mailman playing,O O O B-movie_name I-movie_name O,SearchScreeningEvent,1
what animated movies are playing amc theaters,O B-movie_type I-movie_type O O B-location_name I-location_name,SearchScreeningEvent,1
find meal time movie times close by for movies,O B-timeRange O B-object_type I-object_type B-spatial_relation I-spatial_relation O B-movie_type,SearchScreeningEvent,1
what time is the wanda group playing the honor of an outlaw,O O O O B-location_name I-location_name O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what time will the age of success be showing,O O O B-movie_name I-movie_name I-movie_name I-movie_name O O,SearchScreeningEvent,1
can you let me know where i can watch the nest,O O O O O O O O O B-movie_name I-movie_name,SearchScreeningEvent,1
show the movie schedule at regal entertainment group,O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what is the movie schedule like,O O O B-object_type I-object_type O,SearchScreeningEvent,1
what animated movies are playing at dipson theatres,O B-movie_type I-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
what time is i know that you know that i know lpaying,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
is holy matrimony playing at national amusements,O B-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
can you let me know when talk of the devil is playing at the movie theatre,O O O O O O B-movie_name I-movie_name I-movie_name I-movie_name O O O O B-object_location_type I-object_location_type,SearchScreeningEvent,1
give me the showtimes for down where the buffalo go at amco entertainment,O O O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
what is the movie schedule 1 second from now,O O O B-object_type I-object_type B-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
is a charming man playing at lunch time,O B-movie_name I-movie_name I-movie_name O O B-timeRange O,SearchScreeningEvent,1
when is lake city playing at dipson theatres,O O B-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
what time are films showing at kb theatres,O O O B-movie_type O O B-location_name I-location_name,SearchScreeningEvent,1
find movie schedules,O B-object_type I-object_type,SearchScreeningEvent,1
i need information on movie schedules,O O O O B-object_type I-object_type,SearchScreeningEvent,1
what time is the dungeonmaster playing at amc theaters,O O O B-movie_name I-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
is millions in the air playing at the cinema,O B-movie_name I-movie_name I-movie_name I-movie_name O O O B-object_location_type,SearchScreeningEvent,1
what is the nearest movie house showing animated movies,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_type I-movie_type,SearchScreeningEvent,1
is warhead playing at amc theaters,O B-movie_name O O B-location_name I-location_name,SearchScreeningEvent,1
show me the movie schedule in the area near my home at seven am for animated movies,O O O B-object_type I-object_type B-spatial_relation I-spatial_relation I-spatial_relation O O O O B-timeRange I-timeRange O B-movie_type I-movie_type,SearchScreeningEvent,1
find out what films are being played in the neighbourhood,O O O B-movie_type O O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what is the movie schedule for films that are playing nearby in 15 minutes,O O O B-object_type I-object_type O B-movie_type O O O B-spatial_relation B-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
give me the movie listings at the closest cinema please,O O O B-movie_type O O O B-spatial_relation B-object_location_type O,SearchScreeningEvent,1
what time is crawlspace playing at the caribbean cinemas,O O O B-movie_name O O O B-location_name I-location_name,SearchScreeningEvent,1
what time is the corner playing,O O O B-movie_name I-movie_name O,SearchScreeningEvent,1
can i get the showtimes for the kitchen toto at cineplex odeon corporation,O O O O O O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
show movie times for movies in the area,O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find time for hendthighelbedi at the nearest cinema,O O O B-movie_name O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
find endless horizons,O B-movie_name I-movie_name,SearchScreeningEvent,1
give me the morning movie schedules,O O O B-timeRange B-object_type I-object_type,SearchScreeningEvent,1
show me the movie schedule for nearby movies,O O O B-object_type I-object_type O B-spatial_relation B-movie_type,SearchScreeningEvent,1
find me a showing of the vanquished that starts nine hours and 1 second from now,O O O O O B-movie_name I-movie_name O O B-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange I-timeRange,SearchScreeningEvent,1
find the schedule for the nightmare six hours from now at the nearest cinema,O O B-object_type O B-movie_name I-movie_name B-timeRange I-timeRange I-timeRange I-timeRange O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
find partners in action at dickinson theatres,O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
what are the movie schedules,O O O B-object_type I-object_type,SearchScreeningEvent,1
give me the movie schedule for the great escape theatres,O O O B-object_type I-object_type O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what time is the burning season playing,O O O B-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
what is the nearest movie theatre playing the collaborators,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name,SearchScreeningEvent,1
show me movie schedules,O O B-object_type I-object_type,SearchScreeningEvent,1
what animated movies are playing now in the neighborhood,O B-movie_type I-movie_type O O B-timeRange B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
when can i watch alice: a true story at amc theatres,O O O O B-movie_name I-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
where can i see the somme starting at 16:01:04,O O O O B-movie_name I-movie_name O O B-timeRange,SearchScreeningEvent,1
is the clowns at the nearest cinema,O B-movie_name I-movie_name O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
is the mystery of betty bonn playing at twelve a m at the nearest movie house,O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-timeRange I-timeRange I-timeRange O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
what time is living is easy with eyes closed playing,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O,SearchScreeningEvent,1
please check whether any animated movies will be running in the area around 04:34:15 pm,O O O O B-movie_type I-movie_type O O O B-spatial_relation I-spatial_relation I-spatial_relation O B-timeRange I-timeRange,SearchScreeningEvent,1
tell me the closest movie house playing black rage,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name,SearchScreeningEvent,1
what is playing for movies at b&b theatres,O O O O B-movie_type O B-location_name I-location_name,SearchScreeningEvent,1
find invisible child at southern theatres,O B-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
what movie schedules start at sunset,O B-object_type I-object_type O O B-timeRange,SearchScreeningEvent,1
find a movie house for kickboxer 5 ¨C redemption,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
showtimes for butterfly on a wheel,O O B-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what time are movies showing at megaplex theatres,O O O B-movie_type O O B-location_name I-location_name,SearchScreeningEvent,1
when is sea of fear being shown at the closest movie theatre,O O B-movie_name I-movie_name I-movie_name O O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
i want to see love speed and thrills at the nearest cinema,O O O O B-movie_name I-movie_name I-movie_name I-movie_name O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
i d like to watch films in 23 hours in the neighborhood,O O O O O B-movie_type B-timeRange I-timeRange I-timeRange B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what is the films with movie times in the area,O O O B-movie_type O B-object_type I-object_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what are the movie times for movies around here,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation,SearchScreeningEvent,1
find a movie schedule in the neighborhood for animated movies,O O B-object_type I-object_type B-spatial_relation I-spatial_relation I-spatial_relation O B-movie_type I-movie_type,SearchScreeningEvent,1
what animated movies are playing at kb theatres,O B-movie_type I-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
what animated movies are at the nearest cinema,O B-movie_type I-movie_type O O O B-spatial_relation B-object_location_type,SearchScreeningEvent,1
show me the schedule of movie times in dipson theatres,O O O B-object_type O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
is tomorrow at dawn at harkins theatres,O B-movie_name I-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
find movie times for animated movies in the area,O B-object_type I-object_type O B-movie_type I-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
is green grass widows playing at the cinema,O B-movie_name I-movie_name I-movie_name O O O B-object_location_type,SearchScreeningEvent,1
i d like to watch movies around here can i see the movie schedules,O O O O O B-movie_type B-spatial_relation I-spatial_relation O O O O B-object_type I-object_type,SearchScreeningEvent,1
what movies are showing at fox theatres at 11 am,O B-movie_type O O O B-location_name I-location_name O B-timeRange I-timeRange,SearchScreeningEvent,1
what movie times start in 22 seconds at magic johnson theatres,O B-object_type I-object_type O B-timeRange I-timeRange I-timeRange O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
find kerasotes theatres movie schedules,O B-location_name I-location_name B-object_type I-object_type,SearchScreeningEvent,1
what movies are playing in the neighborhood,O B-movie_type O O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
where and at what time can i see paragraphe 78,O O O O O O O O B-movie_name I-movie_name,SearchScreeningEvent,1
what films are playing at marcus corporation,O B-movie_type O O O B-location_name I-location_name,SearchScreeningEvent,1
what movie theatre is playing the missing picture,O B-object_location_type I-object_location_type O O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
find the movie schedules,O O B-object_type I-object_type,SearchScreeningEvent,1
find a movie theatre with beware of bachelors,O O B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
i want the nearest movie house with the debtors,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name,SearchScreeningEvent,1
what are the current movie schedules for amc theatres,O O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
show a movie schedule with bow tie cinemas,O O B-object_type I-object_type O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
find alamo drafthouse cinema with animated movies,O B-location_name I-location_name I-location_name O B-movie_type I-movie_type,SearchScreeningEvent,1
what s the closest movie house showing the legend of ben hall,O O O B-spatial_relation B-object_location_type I-object_location_type O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name,SearchScreeningEvent,1
what are the movie schedules for movies showing in the neighbourhood,O O O B-object_type I-object_type O B-movie_type O B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
can you pull up a movie schedule for me,O O O O O B-object_type I-object_type O O,SearchScreeningEvent,1
when is good will evil playing at loews cineplex entertainment,O O B-movie_name I-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
is fighting with buffalo bill playing at the closest movie house,O B-movie_name I-movie_name I-movie_name I-movie_name O O O B-spatial_relation B-object_location_type I-object_location_type,SearchScreeningEvent,1
find the schedule for screen souvenirs at cinemark theatres,O O B-object_type O B-movie_name I-movie_name O B-location_name I-location_name,SearchScreeningEvent,1
what is the movie schedule today at neighborhood cinema group,O O O B-object_type I-object_type O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what time is utamaro and his five women showing at alamo drafthouse cinema,O O O B-movie_name I-movie_name I-movie_name I-movie_name I-movie_name O O B-location_name I-location_name I-location_name,SearchScreeningEvent,1
what is on the movie schedule for four am at landmark theatres,O O O O B-object_type I-object_type O B-timeRange I-timeRange O B-location_name I-location_name,SearchScreeningEvent,1
what time is soul surfer playing,O O O B-movie_name I-movie_name O,SearchScreeningEvent,1
show movie times now,O B-object_type I-object_type B-timeRange,SearchScreeningEvent,1
show movie times of movies in the neighbourhood,O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
what is the movie schedule for films in the neighbourhood,O O O B-object_type I-object_type O B-movie_type B-spatial_relation I-spatial_relation I-spatial_relation,SearchScreeningEvent,1
can i get the movie schedules for speakeasy theaters,O O O O B-object_type I-object_type O B-location_name I-location_name,SearchScreeningEvent,1
