text,slot,intent,intent_id
add tune to my hype playlist,O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,5
add por una cabeza to my playlist called this is new edition,O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add wastedagain to the wild & free workout playlist,O B-entity_name O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add this track to duetos,O O B-music_item O B-playlist,AddToPlaylist,5
add the song to the dub on the beach playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
put deep purple on this is jennifer lopez,O B-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add this track to the classical music for smart kids playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add om to my classic punk,O B-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
include laarni lozada on endorphin rush playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist,5
add my track to old school metal playlist,O B-playlist_owner B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist,5
i want to add a song by w c clark to my nerding around playlist,O O O O O B-music_item O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add parempi mies to the caf¨¦ con leche playlist,O B-entity_name I-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist,5
put this track on alok house party playlist,O O B-music_item O B-playlist I-playlist I-playlist O,AddToPlaylist,5
add the crabfish to my playlist called the sleep machine rainforest,O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add heresy and the hotel choir to the evening acoustic playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist,5
add songs tune in reggae infusions,O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add the patty patty sound to my metal talks kreator playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add slave to the rhythm to the playlist massive soca hits,O B-entity_name I-entity_name I-entity_name I-entity_name O O O B-playlist I-playlist I-playlist,AddToPlaylist,5
add the block brochure welcome to the soil 6 onto my caf¨¦ con leche list,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add testifying to donna s tokyo rising palylist,O B-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add dr know to my todo alternativo playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add the name cry like a baby to my a mis ni?os de 30 playlist,O O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add matthew helders artist in showstopper being mary jane,O B-artist I-artist B-music_item O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add this track to new hip hop,O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,5
add a track to my classical feast playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add a kj 52 track to the te quiero playlist,O O B-artist I-artist B-music_item O O B-playlist I-playlist O,AddToPlaylist,5
add the lady bunny album to d¨¦cadas,O O B-artist I-artist B-music_item O B-playlist,AddToPlaylist,5
add a tune to my this is marc anthony playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
can you put this track onto the playlist the selektor,O O O O B-music_item O O O B-playlist I-playlist,AddToPlaylist,5
add image to the nuclear blast novelties playlist,O B-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist,5
add the second three years to my workout twerkout playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add lisa dalbello to my 2015 cma awards nominees list,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add tune to my this is animal collective,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add nour mhanna to workday lounge,O B-artist I-artist O B-playlist I-playlist,AddToPlaylist,5
add natasha to my all things post playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add the piano bar to my cindy wilson,O B-playlist I-playlist I-playlist O B-playlist_owner B-artist I-artist,AddToPlaylist,5
can you add esquivando charcos to my playlist entitled the piano bar,O O O B-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist I-playlist,AddToPlaylist,5
can you add woman of the world to my playlist entitled duetos,O O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist,AddToPlaylist,5
add hold my liquor to electronow,O B-entity_name I-entity_name I-entity_name O B-playlist,AddToPlaylist,5
can you add some disco to my playlist called genuine r&b,O O O O B-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add split the difference to my women s lit playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add blood guts & glory to my this is chopin,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist,5
add deuce to my listas de ¨¦xitos playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
put molly and tenbrooks in the french n heavy playlist,O B-entity_name I-entity_name I-entity_name O O B-playlist I-playlist I-playlist O,AddToPlaylist,5
add warpaint in my pre-party list,O B-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,5
add a tom thacker tune to my rock classics,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
add this song to my crossroad blues playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add an artist to the d¨¦cadas playlist,O O B-music_item O O B-playlist O,AddToPlaylist,5
add a-hunting we will go to the emily dickinson playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist,5
add this tune by harry connick jr to my jazz brasileiro playlist,O O B-music_item O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this song to my list called the birth of cool,O O B-music_item O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
put this song in my funk playlist please,O O B-music_item O B-playlist_owner B-playlist O O,AddToPlaylist,5
add tune to electro workout,O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add the wee wee man to pamela s stress relief playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add the avispa track to my bass gaming playlist,O O B-artist B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add tune to cleaning the house,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,5
please add this song to madden nfl 16,O O O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,5
add this artist to my jazz playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,5
add dahmer to hiphop hot 50,O B-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist,5
add angela au to the playlist radar latino,O B-artist I-artist O O O B-playlist I-playlist,AddToPlaylist,5
i want lance king in my list called one love,O O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add chris de burgh in my playlist melancholia,O B-artist I-artist I-artist O B-playlist_owner O B-playlist,AddToPlaylist,5
add troy andrews to my pop punk powerhouses,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist,5
add a tune to rare groove,O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add sam moran music to my tgif playlist,O B-artist I-artist O O B-playlist_owner B-playlist O,AddToPlaylist,5
move this tune by hironobu kageyama to my baila reggaeton playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add billy strayhorn to my highway 61 playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add munia the tale to my playlist called adrenaline workout,O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
please add checkmate to my irish folk ¨C jigs & reels playlist,O O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add this tune to the heavy gamer playlist,O O B-music_item O O B-playlist I-playlist O,AddToPlaylist,5
add mg the visionary to my dubstep playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist,5
add connee boswell to the relaxing playlist,O B-artist I-artist O O B-playlist O,AddToPlaylist,5
add this track to my party playlist,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,5
add run rudolph run to my rockin playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,5
for the playlist this is mozart add nana mizuki live fighter -blue x red side-,O O O B-playlist I-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,5
i would like ignacio figueredo s tune added to electronow,O O O B-artist I-artist O B-music_item O O B-playlist,AddToPlaylist,5
add jason webley to classical intimate dinner playlist,O B-artist I-artist O B-playlist I-playlist I-playlist O,AddToPlaylist,5
add album to my classical essentials playlist,O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add teriazume to the na??o reggae playlist,O B-entity_name O O B-playlist I-playlist O,AddToPlaylist,5
add the track bg knocc out to the rapcaviar playlist,O O B-music_item B-artist I-artist I-artist O O B-playlist O,AddToPlaylist,5
i want to put a copy of this tune into skatepark punks,O O O O O O O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add track nature noise to my playlist,O B-music_item B-playlist I-playlist O B-playlist_owner O,AddToPlaylist,5
add steve winwood to my playlist old school metal,O B-artist I-artist O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
add teddy boy to my irish folk ¨C jigs & reels playlist,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add nana tanimura to a sudden rainstorm,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist,5
add cj snare to my indie mim playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add already over pt 2 to hip hop 2017 new school,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add party with friends by constructs of the state to juliana s playlist,O B-playlist I-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner I-playlist_owner O,AddToPlaylist,5
add hot house to have you met miss jones,O B-playlist I-playlist O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name,AddToPlaylist,5
add an album to my playlist bachata lovers,O O B-music_item O B-playlist_owner O B-playlist I-playlist,AddToPlaylist,5
add buddy tate to just dance by aftercluv list,O B-artist I-artist O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
i want the turbonegro album to go on the playlist called genuine r&b,O O O B-artist B-music_item O O O O O O B-playlist I-playlist,AddToPlaylist,5
add this song to brooklyn beat,O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add htoo ein thin to my brooklyn beat playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add the artist todd snider to my electro latino playlist,O O B-music_item B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this album to my forever country playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add track to hit remix,O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add 2120 south michigan avenue to my laundry playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist O,AddToPlaylist,5
put hampartsoum limondjian in running to rock 170 to 190 bpm,O B-artist I-artist O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add the nastya kamenskih song to my the martin garrix show playlist,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add song to my el mejor pop en espa?ol,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
can you add honey hush to hits of the 60s,O O O B-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add this song to my love hurts playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this tune to my wine & dine playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add the tune to my chill hits playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add inconfundible to the piano in the background playlist,O B-entity_name O O B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add song in playlist metal monday,O B-music_item O O B-playlist I-playlist,AddToPlaylist,5
add hold tight to my throwback party,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
add autry inman to my hanging out and relaxing playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add the track to the comedy new releases playlist,O O B-music_item O O B-playlist I-playlist I-playlist O,AddToPlaylist,5
add a track to my alok house party playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add nazad nazad kalino mome to escapada,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist,AddToPlaylist,5
i want cocco added to my post metal playlist,O O B-artist O O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add elkie brooks to happy birthday playlist,O B-artist I-artist O B-playlist I-playlist O,AddToPlaylist,5
add this song to my classical dance music ballet & beyond list,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add rock & roll to my playlist named night out,O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add vyechnyy strannik to lo que suena new york,O B-entity_name I-entity_name O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add chamberlain waits to my picnic in the park,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
the this is kevin johansen playlist needs the lamb lies down on broadway in it,O B-playlist I-playlist I-playlist I-playlist O O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O,AddToPlaylist,5
add dying mapa i to m¨¢s que amigos,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist,5
add sarah vaughan to the spa treatment playlist,O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist,5
add javine hylton to my evening playlist,O B-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist,5
love in paris needs some frank farian in the playlist,B-playlist I-playlist I-playlist O O B-artist I-artist O O O,AddToPlaylist,5
add the open door to autumn music,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist,AddToPlaylist,5
add album to bajo las estrellas,O B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,5
add bonga to the black sabbath the dio years playlist,O B-artist O O B-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add sam sparro to my playlist called beach vibes,O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add yoshiki to the 35 soul classics 1970 to 1975 playlist,O B-artist O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add vl mike to my dcode2016 playlist,O B-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist,5
put michael cretu onto my beach vibes playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this artist to metal party,O O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add paloma negra to my funky jams list,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add some martine mccutcheon to my original columbia jazzmasters list,O O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add tune to my is it new wave,O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add another album to my this is pavarotti playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
play used to love her to my this is animal collective playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add fair charlotte to the we everywhere playlist,O B-entity_name I-entity_name O O B-playlist I-playlist O,AddToPlaylist,5
add sara hickman to my targeted list,O B-artist I-artist O B-playlist_owner B-playlist O,AddToPlaylist,5
i want to add the classical moments in movies track to my playlist,O O O O O B-playlist I-playlist I-playlist I-playlist B-music_item O B-playlist_owner O,AddToPlaylist,5
add to my verano list a song by andy lee,O O B-playlist_owner B-playlist O O B-music_item O B-artist I-artist,AddToPlaylist,5
edit top 100 indie tracks on spotify playlist by adding smokefree rockquest 2005,O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O O O B-entity_name I-entity_name I-entity_name,AddToPlaylist,5
put edwyn collins onto my trabajo relax playlist,O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
put this album on my wine & dine playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add the track to the best metal of the new millennium playlist,O O B-music_item O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
want to add pacific ocean blues to the playlist named lunch,O O O B-entity_name I-entity_name I-entity_name O O O O B-playlist,AddToPlaylist,5
add artist danny carey to my classic jazz singers playlist,O B-music_item B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add this album to my just dance by aftercluv playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add this song to my roadrunner rec new releases list,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add this track by clem burke to my atmospheric black metal playlist,O O B-music_item O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add a song to my playlist a peaceful rush hour,O O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add family tree to conexiones,O B-entity_name I-entity_name O B-playlist,AddToPlaylist,5
add mr j medeiros to my women of country playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add this album by bruce dickinson onto top entrevistas my playlist,O O B-music_item O B-artist I-artist O B-playlist I-playlist B-playlist_owner O,AddToPlaylist,5
add this artist to my guilty pleasures playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add a tune to my elrow guest list,O O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist,5
please put live with me onto my playlist named car¨¢cter latino,O O B-entity_name I-entity_name I-entity_name O B-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add song to top 100 country tracks on spotify,O B-music_item O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add a kiley dean tune to my jazz for loving couples playlist,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
add the name covenant to the playlist fusion fest,O O O B-entity_name O O O B-playlist I-playlist,AddToPlaylist,5
add album to mellow bars,O B-music_item O B-playlist I-playlist,AddToPlaylist,5
add tune digster reggae,O B-music_item B-playlist I-playlist,AddToPlaylist,5
add magnifico to michele s playlist called 88 keys,O B-artist O B-playlist_owner I-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add curse song to my playlist guest list engadget,O B-artist B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
add ik tara to laundry playlst,O B-entity_name I-entity_name O B-playlist O,AddToPlaylist,5
put do you love me on my acoustic soul playlist,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add welcome to the cruel world to my reggae classics,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
add bronislau kaper to the drive playlist,O B-artist I-artist O O B-playlist O,AddToPlaylist,5
add name me & the rhythm to my chill out music,O O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist,AddToPlaylist,5
add heart like a hurricane to digster soul classics,O B-entity_name I-entity_name I-entity_name I-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist,5
add artist to my phunkadelic playlist,O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,5
put paula abdul on musica espa?ola 2017,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist,5
put this album on my conexiones list,O O B-music_item O B-playlist_owner B-playlist O,AddToPlaylist,5
can you add something by gregori chad petree to the playlist digster soul classics,O O O O O B-artist I-artist I-artist O O O B-playlist I-playlist I-playlist,AddToPlaylist,5
please add a song to ines s playlist called metal party,O O O B-music_item O B-playlist_owner I-playlist_owner O O B-playlist I-playlist,AddToPlaylist,5
add hallucinations of despair to my this is trey songz playlist,O B-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
please put this track onto letha s signed xoxo playlist,O O O B-music_item O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add the artist to my 31 minutos playlist,O O B-music_item O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add kaya newest track to my i love my 00 s r&b playlist,O B-artist O B-music_item O B-playlist_owner B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist O,AddToPlaylist,5
i want to put roberto valverde into my ultra metal list,O O O O B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this tune by shagrath to black sabbath the ozzy years,O O B-music_item O B-artist O B-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add halley to this is tchaikovsky,O B-entity_name O B-playlist I-playlist I-playlist,AddToPlaylist,5
put joseph utsler on all out 70s,O B-artist I-artist O B-playlist I-playlist I-playlist,AddToPlaylist,5
add this artist named cleopatra stratan to my playlist named 30 before 20 masterworks by teenagers,O O B-music_item O B-artist I-artist O B-playlist_owner O O B-playlist I-playlist I-playlist I-playlist I-playlist I-playlist,AddToPlaylist,5
add joan wasser to running playlist,O B-artist I-artist O B-playlist O,AddToPlaylist,5
add i pledge allegiance to the grind to my sinfon¨ªa hipster playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
can you add something by the artist paul cargnello to my chill tracks playlist,O O O O O O B-music_item B-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add falling stars to my intense studying,O B-entity_name I-entity_name O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
put framed onto my ntc studio sounds playlist,O B-entity_name O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
can you add something from method man to my this is mozart playlist,O O O O O B-artist I-artist O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add song to daily lift playlist,O B-music_item O B-playlist I-playlist O,AddToPlaylist,5
add this tune by frankie laine to my playlist kitchen swagger,O O B-music_item O B-artist I-artist O B-playlist_owner O B-playlist I-playlist,AddToPlaylist,5
put before the eulogy onto acoustic blues,O B-entity_name I-entity_name I-entity_name O B-playlist I-playlist,AddToPlaylist,5
put the airi suzuki album into my nuclear blast novelties playlist,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist I-playlist O,AddToPlaylist,5
add as i was going to st ives to the fantas¨ªa playlist,O B-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name I-entity_name O O B-playlist O,AddToPlaylist,5
add hemanta kumar mukhopadhyay album in funky jams,O B-artist I-artist I-artist B-music_item O B-playlist I-playlist,AddToPlaylist,5
put ron wood in the digster reggae playlist,O B-artist I-artist O O B-playlist I-playlist O,AddToPlaylist,5
add track to my playlist a sudden rainstorm,O B-music_item O B-playlist_owner O B-playlist I-playlist I-playlist,AddToPlaylist,5
add this eric weissberg song to my dance workout,O O B-artist I-artist B-music_item O B-playlist_owner B-playlist I-playlist,AddToPlaylist,5
add olga souza to virginia s femme fatale playlist,O B-artist I-artist O B-playlist_owner I-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
add this john tesh tune to the friendesemana playlist,O O B-artist I-artist B-music_item O O B-playlist O,AddToPlaylist,5
add lee seung gi to my baila reggaeton playlist,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O,AddToPlaylist,5
i want to add this so chan whee tune to latin alternative music,O O O O O B-artist I-artist I-artist B-music_item O B-playlist I-playlist I-playlist,AddToPlaylist,5
add paulinho da viola to my radio rock song list,O B-artist I-artist I-artist O B-playlist_owner B-playlist I-playlist O O,AddToPlaylist,5
